loteNo;departamento_anonym;empresa_anonym;granja_anonym;proveedorCorregido_anonym;fabricaAlimento;genética;duracionCeba;edadFinal;edadInicial;pesoInicial;pesoFinal;fechaSalida;anioSalida;semesreSalida;anioSemestreSalida;asesor;numFinalAnimales;numInicialAnimales;mortalidad;conversionAlimenticia
606cc612764f08b435411bbe;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;42.2;109.3;67.1;22.5487;107.6798;1/05/2020;2020;1;2020-S1;rt_1;482;509;5.3;2.4381
606cc612764f08b435411bbb;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;23.4;96.9;73.5;25.6364;103.6472;1/02/2020;2020;1;2020-S1;rt_1;326;343;4.96;2.3376
606cc612764f08b435411bb4;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;92.2;164.9;72.7;28.1595;102.0372;1/07/2019;2019;2;2019-S2;rt_1;706;754;6.37;2.4686
606cc612764f08b435411bb8;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;94;165;71;24.6681;98.348;1/11/2019;2019;2;2019-S2;rt_1;542;590;8.14;2.3517
606cc612764f08b435411bbd;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;32.7;101.7;69;24.3556;107.6941;1/04/2020;2020;1;2020-S1;rt_1;219;225;2.67;2.1806
606cc612764f08b435411bbf;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;44.9;113;68.1;23.2057;113.706;1/06/2020;2020;1;2020-S1;rt_1;373;389;4.11;2.4879
606cc612764f08b435411bc0;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;42.6;110.3;67.7;26.2596;116.6819;1/07/2020;2020;2;2020-S2;rt_1;546;570;4.21;2.3553
606cc612764f08b435411bc5;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;28.4;98.7;70.3;21.3793;106.3285;1/12/2020;2020;2;2020-S2;rt_1;367;406;9.61;2.4738
606cc612764f08b435411bbc;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;35.1;104;68.9;22.5399;105.209;1/03/2020;2020;1;2020-S1;rt_1;720;760;5.26;2.2965
606cc612764f08b435411bc2;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;25.4;92.9;67.5;23.0214;86.8919;1/09/2020;2020;2;2020-S2;rt_1;481;514;6.42;2.4144
606cc64b764f08b4354137ba;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;69.3;145.3;76;35.42;100.13;31/12/2019;2019;2;2019-S2;rt_2;40;40;0;2.04
606cc64b764f08b4354137bd;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;76;145;69;29.13;96.43;20/01/2020;2020;1;2020-S1;rt_2;30;30;0;2.06
606cc64b764f08b4354137bb;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;75.2;148.2;73;27.46;98.56;6/01/2020;2020;1;2020-S1;rt_2;39;39;0;2.034
606cc64b764f08b4354137be;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;57;134;77;35.94;97.39;17/01/2020;2020;1;2020-S1;rt_2;36;36;0;2.152
606cc64b764f08b4354137bc;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;76;153;77;34.69;94.52;20/01/2020;2020;1;2020-S1;rt_2;42;42;0;2.252
606cc64b764f08b4354137c6;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;89;158;69;25.87;96.17;5/04/2020;2020;1;2020-S1;rt_2;130;130;0;2.046
606cc64b764f08b4354137c2;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;69.9;141.9;72;31.69;96.24;21/02/2020;2020;1;2020-S1;rt_2;58;58;0;2.062
606cc64b764f08b4354137c7;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;91;160;69;27.3;98.25;15/04/2020;2020;1;2020-S1;rt_2;125;125;0;1.977
606cc64b764f08b4354137cc;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;74;152.1;78.1;34.17;105.61;11/05/2020;2020;1;2020-S1;rt_2;70;71;1.41;2.086
606cc64b764f08b4354137dd;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;69.8;148.8;79;37.13;107.17;19/08/2020;2020;2;2020-S2;rt_2;72;72;0;2.272
606cc64b764f08b4354137e3;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;82;152;70;31.13;105.96;21/09/2020;2020;2;2020-S2;rt_2;45;45;0;1.919
606cc64b764f08b4354137c0;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;81;154;73;30.35;95.37;19/02/2020;2020;1;2020-S1;rt_2;60;60;0;1.999
606cc64b764f08b4354137ce;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83;160;77;30.59;97.1;26/05/2020;2020;1;2020-S1;rt_2;41;41;0;1.834
606cc64b764f08b4354137c9;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;68.5;146.5;78;36.15;103.82;14/04/2020;2020;1;2020-S1;rt_2;73;73;0;2.101
606cc64b764f08b4354137d3;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;70.6;147.6;77;34.79;103.18;18/06/2020;2020;1;2020-S1;rt_2;73;73;0;1.987
606cc64b764f08b4354137e6;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;76.4;149.4;73;30.25;106.44;2/10/2020;2020;2;2020-S2;rt_2;64;64;0;2.211
606cc64b764f08b4354137f6;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;84;154;70;25.8;103.86;31/12/2020;2020;2;2020-S2;rt_2;57;59;3.39;2.151
606cc64b764f08b4354137d7;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;74.3;151.3;77;33.24;106.75;18/07/2020;2020;2;2020-S2;rt_2;79;79;0;2.104
606cc64b764f08b4354137f1;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;79.4;151.4;72;28.7;112.16;30/11/2020;2020;2;2020-S2;rt_2;43;43;0;1.989
606cc64b764f08b4354137ee;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;75.7;150.7;75;30.21;107.9;15/11/2020;2020;2;2020-S2;rt_2;62;62;0;2.01
606cc64b764f08b4354137c5;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83;152;69;27.65;96.84;23/03/2020;2020;1;2020-S1;rt_2;57;57;0;2.165
606cc64b764f08b4354137c3;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;76;148;72;33.52;100.07;5/03/2020;2020;1;2020-S1;rt_2;46;46;0;1.934
606cc64b764f08b4354137d6;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;74;152;78;33.92;104.71;13/07/2020;2020;2;2020-S2;rt_2;66;66;0;2.029
606cc64b764f08b4354137e1;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83.1;153.1;70;30.51;105.82;16/09/2020;2020;2;2020-S2;rt_2;73;73;0;2.19
606cc64b764f08b4354137c8;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;81;157;76;32.63;99.86;17/04/2020;2020;1;2020-S1;rt_2;76;76;0;2.235
606cc64b764f08b4354137ca;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;70;145;75;31.43;102.08;21/04/2020;2020;1;2020-S1;rt_2;49;49;0;1.802
606cc64b764f08b4354137d1;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;72.2;149.2;77;30.89;101.04;6/06/2020;2020;1;2020-S1;rt_2;57;57;0;2.151
606cc64b764f08b4354137e4;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;78.9;149.9;71;30.88;108.65;25/09/2020;2020;2;2020-S2;rt_2;40;40;0;1.832
606cc64b764f08b4354137eb;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;85;155;70;30.38;110.93;5/11/2020;2020;2;2020-S2;rt_2;42;42;0;2.096
606cc64b764f08b4354137c1;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;77;148;71;28.36;97.15;19/02/2020;2020;1;2020-S1;rt_2;86;86;0;1.988
606cc64b764f08b4354137c4;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83;152;69;30.24;95.65;16/03/2020;2020;1;2020-S1;rt_2;34;34;0;2.302
606cc64b764f08b4354137cf;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;84;159;75;28.53;96.32;1/06/2020;2020;1;2020-S1;rt_2;66;66;0;2.137
606cc64b764f08b4354137d5;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;71.4;148.4;77;31.68;89.51;3/07/2020;2020;2;2020-S2;rt_2;75;75;0;2.522
606cc64b764f08b4354137db;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;75;154;79;35.96;108.28;10/08/2020;2020;2;2020-S2;rt_2;67;67;0;2.204
606cc64b764f08b4354137e7;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;77.5;150.5;73;29.64;105.01;10/10/2020;2020;2;2020-S2;rt_2;72;72;0;1.879
606cc64b764f08b4354137bf;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;77;149;72;27.96;90.61;6/02/2020;2020;1;2020-S1;rt_2;44;45;2.22;1.92
606cc64b764f08b4354137e8;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;82.6;155.6;73;30.17;100.74;21/10/2020;2020;2;2020-S2;rt_2;35;35;0;2.113
606cc64b764f08b4354137e0;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;81.2;150.2;69;28.34;106.24;4/09/2020;2020;2;2020-S2;rt_2;82;82;0;2.023
606cc64b764f08b4354137d0;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;74.8;152.8;78;32.71;98.24;1/06/2020;2020;1;2020-S1;rt_2;75;76;1.32;1.831
606cc64b764f08b4354137cb;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;82.1;153.1;71;28.34;100.2;6/05/2020;2020;1;2020-S1;rt_2;85;85;0;1.997
606cc64b764f08b4354137e9;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;82.2;154.2;72;27.43;102.54;27/10/2020;2020;2;2020-S2;rt_2;74;74;0;2.101
606cc64b764f08b4354137de;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;71;146;75;39.53;109.26;25/08/2020;2020;2;2020-S2;rt_2;47;47;0;1.837
606cc64b764f08b4354137d2;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;67;146;79;37.69;102.67;8/06/2020;2020;1;2020-S1;rt_2;64;64;0;1.996
606cc64b764f08b4354137dc;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;70;147;77;36.41;107.31;12/08/2020;2020;2;2020-S2;rt_2;80;80;0;1.904
606cc64b764f08b4354137d9;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;71.6;148.6;77;36.2;107.77;21/07/2020;2020;2;2020-S2;rt_2;56;56;0;1.826
606cc64b764f08b4354137f2;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;85;156;71;28.34;110.84;11/12/2020;2020;2;2020-S2;rt_2;64;64;0;1.992
606cc64b764f08b4354137f4;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83;155;72;24.91;99.88;25/12/2020;2020;2;2020-S2;rt_2;57;57;0;2.045
606cc64b764f08b4354137ec;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;81.3;153.3;72;29.72;107.57;11/11/2020;2020;2;2020-S2;rt_2;47;47;0;1.913
606cc64b764f08b4354137ef;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83.6;150.6;67;24.83;107.46;23/11/2020;2020;2;2020-S2;rt_2;46;46;0;1.989
606cc6be764f08b435417179;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;81.8;149.8;68;24.81;102.28;28/07/2019;2019;2;2019-S2;rt_2;43;43;0;2.023
606cc6be764f08b43541717d;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83;153;70;27.11;99.97;30/08/2019;2019;2;2019-S2;rt_2;38;38;0;2.095
606cc6be764f08b43541717a;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;82;152;70;26.66;105.93;5/08/2019;2019;2;2019-S2;rt_2;41;41;0;2.031
606cc6be764f08b43541717b;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;79;152;73;28.9;104.86;9/08/2019;2019;2;2019-S2;rt_2;21;21;0;2.097
606cc6be764f08b43541717c;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;80;150;70;28.47;101.47;20/08/2019;2019;2;2019-S2;rt_2;32;32;0;2.164
606cc6be764f08b435417184;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;73;152;79;32.71;105.31;14/10/2019;2019;2;2019-S2;rt_2;78;78;0;2.002
606cc6be764f08b435417188;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;67;150;83;38.86;103.28;8/11/2019;2019;2;2019-S2;rt_2;36;36;0;2.104
606cc6be764f08b435417181;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83;153;70;26.13;102.32;25/09/2019;2019;2;2019-S2;rt_2;38;39;2.56;2.07
606cc6be764f08b435417183;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;70;152;82;39.51;107.28;7/10/2019;2019;2;2019-S2;rt_2;39;39;0;2.134
606cc6be764f08b435417182;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83;159;76;29.27;105.06;7/10/2019;2019;2;2019-S2;rt_2;80;80;0;2.052
606cc6be764f08b435417187;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;84;153;69;25.72;100.69;4/11/2019;2019;2;2019-S2;rt_2;36;36;0;2.282
606cc6be764f08b43541718f;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;73;143;70;31.04;100.86;20/12/2019;2019;2;2019-S2;rt_2;28;28;0;2.148
606cc6be764f08b435417180;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;84;155;71;26.13;100.65;20/09/2019;2019;2;2019-S2;rt_2;46;46;0;1.82
606cc6be764f08b43541718c;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;85;155;70;31.17;105.63;20/12/2019;2019;2;2019-S2;rt_2;60;60;0;2.077
606cc6be764f08b43541718a;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83;162;79;35.5;101.2;13/12/2019;2019;2;2019-S2;rt_2;40;40;0;2.093
606cc6be764f08b435417186;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;81;156;75;31.38;104.97;1/11/2019;2019;2;2019-S2;rt_2;40;40;0;2.011
606cc6be764f08b43541718d;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;67.8;144.8;77;34.42;102.85;15/12/2019;2019;2;2019-S2;rt_2;40;40;0;1.995
606cc6be764f08b43541717e;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;74.7;145.7;71;31.56;103.08;28/08/2019;2019;2;2019-S2;rt_2;39;39;0;1.994
606cc6be764f08b435417185;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;73;153;80;34.44;103.43;24/10/2019;2019;2;2019-S2;rt_2;79;79;0;1.955
606cc6be764f08b43541718b;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;83;156;73;28;101.28;13/12/2019;2019;2;2019-S2;rt_2;39;39;0;2.064
606cc6be764f08b435417189;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;77;153;76;31.38;101.45;18/11/2019;2019;2;2019-S2;rt_2;40;40;0;2.083
606cc6be764f08b43541717f;dp_0;em_2;gr_2;pn_0;pp_0;lg_0;72.7;144.7;72;29.56;104.37;2/09/2019;2019;2;2019-S2;rt_2;67;68;1.47;1.943
607625ac764f08b435cef0f2;dp_1;em_3;gr_3;pn_0;pp_1;lg_0;81;151;70;31.249;115.3538;1/02/2019;2019;1;2019-S1;rt_3;260;261;0.38;2.1616
607625ac764f08b435cef0f6;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;72.5;160.79;88.29;45.4366;116.1466;1/03/2019;2019;1;2019-S1;rt_3;1289;1310;1.6;2.2522
607625ac764f08b435cef0ef;dp_1;em_3;gr_3;pn_0;pp_1;lg_0;71;148.4;77.4;30.8073;112.9461;1/01/2019;2019;1;2019-S1;rt_3;297;301;1.33;2.121
607625ac764f08b435cef0f4;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;76.5;159.9;83.4;38.7295;102.0809;1/03/2019;2019;1;2019-S1;rt_3;915;928;1.4;2.2728
607625ac764f08b435cef0f9;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;72.64;157.44;84.8;38.7535;102.8296;1/04/2019;2019;1;2019-S1;rt_3;1461;1481;1.35;2.0849
607625ac764f08b435cef0f8;dp_1;em_3;gr_3;pn_0;pp_1;lg_0;72;147.6;75.6;39.5675;115.8834;1/04/2019;2019;1;2019-S1;rt_3;283;289;2.08;2.1779
607625ac764f08b435cef0f0;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;75.93;159.24;83.31;39.0449;101.2854;1/02/2019;2019;1;2019-S1;rt_3;1244;1248;0.32;2.1773
607625ac764f08b435cef0f7;dp_1;em_3;gr_3;pn_0;pp_1;lg_0;70.2;154.3;84.1;41.207;115.1261;1/03/2019;2019;1;2019-S1;rt_3;436;454;3.96;2.3311
607625ac764f08b435cef0fb;dp_1;em_3;gr_3;pn_0;pp_1;lg_0;80.7;154;73.3;31.9798;122.5143;1/05/2019;2019;1;2019-S1;rt_3;245;248;1.21;2.1816
607625ac764f08b435cef0ed;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;70.84;153.31;82.47;39.7847;99.3914;1/01/2019;2019;1;2019-S1;rt_3;1229;1231;0.16;2.2515
607625ac764f08b435cef0ee;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;70;154.94;84.94;42.8684;107.781;1/01/2019;2019;1;2019-S1;rt_3;1575;1596;1.32;2.3268
607625ac764f08b435cef0fa;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;70.5;154.2;83.7;42.1809;110.2457;1/04/2019;2019;1;2019-S1;rt_3;1465;1498;2.2;2.2477
607625ac764f08b435cef0f1;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;71;156.45;85.45;44.0118;113.5758;1/02/2019;2019;1;2019-S1;rt_3;1669;1695;1.53;2.2982
607625ac764f08b435cef100;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;76.21;159.32;83.11;40.8358;111.847;1/05/2019;2019;1;2019-S1;rt_3;1673;1724;2.96;2.292
607625ac764f08b435cef0fe;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;72;156.42;84.42;41.6862;112.3646;1/05/2019;2019;1;2019-S1;rt_3;1281;1300;1.46;2.1674
607625ac764f08b435cef10a;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;79.78;165.11;85.33;44.0086;115.4271;1/08/2019;2019;2;2019-S2;rt_3;576;579;0.52;2.3924
607625ac764f08b435cef107;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;76.31;159.89;83.58;42.6304;112.1898;1/07/2019;2019;2;2019-S2;rt_3;1238;1242;0.32;2.2787
607625ac764f08b435cef116;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;68.71;154.05;85.34;47.3511;111.5334;1/12/2019;2019;2;2019-S2;rt_3;2422;2438;0.66;2.2196
607625ac764f08b435cef118;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;71.2;156;84.8;41.038;108.1464;1/02/2020;2020;1;2020-S1;rt_3;1243;1262;1.51;2.1883
607625ac764f08b435cef119;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;72.5;156.8;84.3;41.0381;108.1467;1/03/2020;2020;1;2020-S1;rt_3;1302;1311;0.69;2.177
607625ac764f08b435cef108;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;75.5;159.48;83.98;43.4451;109.9226;1/07/2019;2019;2;2019-S2;rt_3;1603;1640;2.26;2.5066
607625ac764f08b435cef10c;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;78;162.85;84.85;44.7413;113.0181;1/09/2019;2019;2;2019-S2;rt_3;1494;1546;3.36;2.2926
607625ac764f08b435cef111;dp_1;em_3;gr_3;pn_0;pp_1;lg_0;73.66;143.55;69.89;33.8798;109.9528;1/10/2019;2019;2;2019-S2;rt_3;233;233;0;2.0694
607625ac764f08b435cef101;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;75;159.49;84.49;44.1273;114.2686;1/06/2019;2019;1;2019-S1;rt_3;1575;1626;3.14;2.4039
607625ac764f08b435cef114;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;75.66;159.7;84.04;41.4606;110.4993;1/11/2019;2019;2;2019-S2;rt_3;2183;2195;0.55;2.215
607625ac764f08b435cef110;dp_1;em_3;gr_3;pn_0;pp_1;lg_0;73.5;150.9;77.4;38.92;116.2819;1/09/2019;2019;2;2019-S2;rt_3;298;300;0.67;2.2023
607625ac764f08b435cef0ff;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;76.07;160.04;83.97;42.3294;111.1288;1/06/2019;2019;1;2019-S1;rt_3;1017;1020;0.29;2.296
607625ac764f08b435cef10f;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;76.5;160.69;84.19;43.4088;108.8656;1/10/2019;2019;2;2019-S2;rt_3;1235;1245;0.8;2.4069
607625ac764f08b435cef113;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;70;156.14;86.14;40.3655;103.4784;1/11/2019;2019;2;2019-S2;rt_3;1202;1212;0.83;2.1649
607625ac764f08b435cef112;dp_1;em_3;gr_3;pn_0;pp_1;lg_0;83;150;67;32.9173;115.5115;1/11/2019;2019;2;2019-S2;rt_3;131;133;1.5;2.1127
607625ac764f08b435cef117;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;69;154.38;85.38;42.8083;113.658;1/01/2020;2020;1;2020-S1;rt_3;1196;1200;0.33;2.1082
607625ac764f08b435cef109;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;75.75;160.68;84.93;43.4775;109.1004;1/08/2019;2019;2;2019-S2;rt_3;2600;2775;6.31;2.4436
607625ac764f08b435cef10e;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;78;162;84;42.673;110.5969;1/10/2019;2019;2;2019-S2;rt_3;1342;1373;2.26;2.3261
607625ac764f08b435cef10d;dp_1;em_4;gr_5;pn_1;pp_1;lg_0;73;157;84;43.6258;107.6963;1/09/2019;2019;2;2019-S2;rt_3;642;644;0.31;2.2277
607625ac764f08b435cef11a;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;74.4;158;83.6;43.3085;112.3154;1/12/2019;2019;2;2019-S2;rt_3;1696;1705;0.53;2.2219
607625ac764f08b435cef11b;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;82.5;161.25;78.75;36.7732;115.4671;1/01/2020;2020;1;2020-S1;rt_3;1640;1662;1.32;2.1838
607625ac764f08b435cef11d;dp_1;em_4;gr_4;pn_1;pp_1;lg_0;82;164.9;82.9;41.829;116.0921;1/03/2020;2020;1;2020-S1;rt_3;825;842;2.02;2.3106
607625ac764f08b435cef131;dp_1;em_5;gr_6;pn_2;pp_1;lg_0;92;159;67;24.3556;107.9333;1/02/2019;2019;1;2019-S1;rt_4;45;45;0;2.2015
607625ac764f08b435cef135;dp_1;em_5;gr_6;pn_2;pp_1;lg_0;93;162;69;27.5;111.6958;1/06/2019;2019;1;2019-S1;rt_4;503;506;0.59;2.1463
607625ac764f08b435cef14e;dp_1;em_3;gr_3;pn_0;pp_1;lg_0;112;182;70;32.3207;123.7951;1/05/2020;2020;1;2020-S1;rt_3;288;290;0.69;2.2968
607625ac764f08b435cef139;dp_1;em_5;gr_6;pn_2;pp_1;lg_0;93;163;70;25.2899;107.965;1/10/2019;2019;2;2019-S2;rt_4;514;514;0;2.1038
607625ac764f08b435cef134;dp_1;em_5;gr_6;pn_2;pp_1;lg_0;86;156;70;30;107.6897;1/05/2019;2019;1;2019-S1;rt_4;87;90;3.33;2.0753
607625ac764f08b435cef138;dp_1;em_5;gr_6;pn_2;pp_1;lg_0;93;163;70;26.5251;108.5176;1/09/2019;2019;2;2019-S2;rt_4;512;518;1.16;2.1855
607625ac764f08b435cef133;dp_1;em_5;gr_6;pn_2;pp_1;lg_0;106;173;67;27;118.7593;1/04/2019;2019;1;2019-S1;rt_4;482;483;0.21;2.2963
